Overall Difficulty Level: 0, Road Difficulty Level: 20 Sign Difficulty Level: 29 Go Sign False Positive Button Triggers: 0 Average Go Sign Latency: 0.000000 Driving Accuracy: 100 Vertical Accuracy: 100 Horizontal Accuracy: 100 Sign Accuracy: 0 OverallAccuracy:80 Go Signs Total: 0 GamePlayMode:  0.0
time,posX,posY,joyX,joyY,signType,flags,leftred,leftyellow,rightred,rightyellow,joystickbutton,TurnType,HillType
-4.000000,0.000000,0.000000,0.000000,0.000000,-1,256,0,0,0,0,1,0,0
-3.983000,0.000000,0.000000,0.000000,0.000000,-1,256,0,0,0,0,1,0,0
-3.967000,0.000000,0.000000,0.000000,0.000000,-1,256,0,0,0,0,1,0,0
-3.950000,0.000000,0.000000,0.000000,0.000000,-1,256,0,0,0,0,1,0,0
-3.933000,0.000000,0.000000,0.000000,0.000000,-1,256,0,0,0,0,1,0,0
-3.917000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.900000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.883000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.867000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.850000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.833000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.817000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.800000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.783000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.767000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.750000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.733000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.717000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.700000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.683000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.667000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.650000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.633000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.617000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.600000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.583000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.567000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.550000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.533000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.517000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.500000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.483000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
-3.467000,0.000000,0.000000,0.000000,0.000000,-1,0,0,0,0,0,0,0,0
